,DATA COMPETÊNCIA,CODIGO FILIAL,TIPO VEÍCULO,DIA_DA_SEMANA,JORNADA,QNT_ROTAS
0,2024-08-01,6,FORTE,Quinta,greater than 14,3
605,2024-08-01,116,LEVE,Quinta,till 8,1
100,2024-08-01,170,LEVE,Quinta,till 8,2
25,2024-08-01,6,LEVE,Quinta,till 11,1
65,2024-08-01,116,FORTE,Quinta,till 8,3
95,2024-08-01,170,FORTE,Quinta,till 9,6
900,2024-08-01,6,FORTE,Quinta,till 9,1
35,2024-08-01,75,FORTE,Quinta,till 11,2
90,2024-08-01,170,FORTE,Quinta,till 8,4
40,2024-08-01,75,FORTE,Quinta,till 9,6
85,2024-08-01,170,FORTE,Quinta,till 12,1
45,2024-08-01,75,LEVE,Quinta,till 9,1
80,2024-08-01,170,FORTE,Quinta,till 10,1
50,2024-08-01,116,FORTE,Quinta,greater than 14,2
75,2024-08-01,116,LEVE,Quinta,till 11,1
55,2024-08-01,116,FORTE,Quinta,till 10,2
858,2024-08-01,116,FORTE,Quinta,till 14,1
70,2024-08-01,116,FORTE,Quinta,till 9,1
600,2024-08-01,116,FORTE,Quinta,till 13,2
20,2024-08-01,6,LEVE,Quinta,till 10,1
30,2024-08-01,75,FORTE,Quinta,till 10,4
580,2024-08-01,6,FORTE,Quinta,till 12,4
794,2024-08-01,170,FORTE,Quinta,till 11,1
799,2024-08-01,170,LEVE,Quinta,till 10,1
789,2024-08-01,116,FORTE,Quinta,till 12,2
5,2024-08-01,6,FORTE,Quinta,till 10,1
575,2024-08-01,6,FORTE,Quinta,till 11,5
784,2024-08-01,75,FORTE,Quinta,till 8,4
779,2024-08-01,6,FORTE,Quinta,till 8,1
10,2024-08-01,6,FORTE,Quinta,till 13,3
585,2024-08-01,75,FORTE,Quinta,till 12,1
60,2024-08-01,116,FORTE,Quinta,till 11,2
905,2024-08-01,6,LEVE,Quinta,till 12,1
595,2024-08-01,75,LEVE,Quinta,till 8,1
590,2024-08-01,75,LEVE,Quinta,till 10,1
15,2024-08-01,6,FORTE,Quinta,till 14,2
873,2024-08-02,116,FORTE,Sexta,till 14,1
878,2024-08-02,116,LEVE,Sexta,till 13,1
210,2024-08-02,170,LEVE,Sexta,till 9,1
115,2024-08-02,6,FORTE,Sexta,till 12,4
205,2024-08-02,170,LEVE,Sexta,till 8,1
200,2024-08-02,170,FORTE,Sexta,till 9,6
195,2024-08-02,170,FORTE,Sexta,till 8,3
105,2024-08-02,6,FORTE,Sexta,greater than 14,1
863,2024-08-02,6,FORTE,Sexta,till 8,1
190,2024-08-02,170,FORTE,Sexta,till 11,1
185,2024-08-02,170,FORTE,Sexta,till 10,3
135,2024-08-02,75,FORTE,Sexta,till 10,4
180,2024-08-02,116,FORTE,Sexta,till 8,4
140,2024-08-02,75,FORTE,Sexta,till 11,1
175,2024-08-02,116,FORTE,Sexta,till 13,2
868,2024-08-02,75,LEVE,Sexta,till 8,1
145,2024-08-02,75,FORTE,Sexta,till 8,4
170,2024-08-02,116,FORTE,Sexta,till 12,2
150,2024-08-02,75,FORTE,Sexta,till 9,5
165,2024-08-02,116,FORTE,Sexta,till 11,1
160,2024-08-02,116,FORTE,Sexta,greater than 14,2
120,2024-08-02,6,FORTE,Sexta,till 13,3
